date,total_deaths,new_cases,tests
2021-05-27,125793,4147,65423542
2021-05-28,125919,3738,65673453
2021-05-29,126002,3351,65920783
2021-05-30,126046,2949,66085278
2021-05-31,126128,1820,66172255
2021-06-01,126221,2483,66394073
2021-06-02,126283,2897,66620345
2021-06-03,126342,1968,66717978
2021-06-04,126415,2557,66938917
2021-06-05,126472,2436,67177549
2021-06-06,126523,2275,67327507
2021-06-07,126588,1273,67412074
2021-06-08,126690,1896,67632991
2021-06-09,126767,2199,67851729
2021-06-10,126855,2079,68039849
2021-06-11,126924,1901,68257459
2021-06-12,126976,1723,68470425
2021-06-13,127002,1390,68604561
2021-06-14,127038,907,68683489
2021-06-15,127101,1255,68896197
2021-06-16,127153,1400,69099370
2021-06-17,127190,1325,69299685
2021-06-18,127225,1147,69515711
2021-06-19,127253,1197,69765699
2021-06-20,127270,881,69916221
2021-06-21,127291,495,69997973
2021-06-22,127322,835,70190855
2021-06-23,127334,951,70388886
2021-06-24,127362,927,70577077
2021-06-25,127418,753,70769618
2021-06-26,127458,838,70994111
2021-06-27,127472,782,71131694
2021-06-28,127500,389,71207555
2021-06-29,127542,679,71398190
2021-06-30,127566,776,71583206
2021-07-01,127587,882,71771680
2021-07-02,127615,794,71970918
2021-07-03,127637,932,72199045
2021-07-04,127649,808,72340685
2021-07-05,127680,480,72415334
2021-07-06,127704,907,72607758
2021-07-07,127718,1010,72785735
2021-07-08,127731,1394,72960587
2021-07-09,127756,1390,73157509
2021-07-10,127768,1400,73365928
2021-07-11,127775,1391,73509260
2021-07-12,127788,888,73582831
2021-07-13,127808,1534,73775374
2021-07-14,127831,2153,73985973
2021-07-15,127840,2455,74176895
2021-07-16,127851,2898,74382497
2021-07-17,127864,3121,74627294
2021-07-18,127867,3127,74792563
2021-07-19,127874,2072,74881652
2021-07-20,127884,3558,75100357
2021-07-21,127905,4259,75335454
2021-07-22,127920,5057,75555232
2021-07-23,127937,5143,75792867
2021-07-24,127942,5140,76051796
2021-07-25,127949,4743,76228449
2021-07-26,127971,3117,76316696
2021-07-27,127995,4522,76558586
2021-07-28,128010,5696,76807058
2021-07-29,128029,6171,77031848
2021-07-30,128047,6619,77279334
2021-07-31,128063,6513,77544194
2021-08-01,128065,5321,77711955
2021-08-02,128088,3190,77795178
2021-08-03,128115,4845,78004897
2021-08-04,128136,6596,78220645
2021-08-05,128163,7230,78432872
2021-08-06,128187,6599,78677529
2021-08-07,128209,6902,78971392
2021-08-08,128220,5735,79174903
2021-08-09,128242,4200,79277767
2021-08-10,128273,5636,79519533
2021-08-11,128304,6968,79749572
2021-08-12,128334,7270,79966541
2021-08-13,128379,7409,80192027
2021-08-14,128413,7188,80446033
2021-08-15,128432,5664,80606903
2021-08-16,128456,3674,80680924
2021-08-17,128510,5273,80918997
2021-08-18,128579,7162,81145420
2021-08-19,128634,7260,81351951
2021-08-20,128683,7224,81572607
2021-08-21,128728,7470,81827825
2021-08-22,128751,5923,82003364
2021-08-23,128795,4168,82104705
2021-08-24,128855,6076,82370951
2021-08-25,128914,7548,82615371
2021-08-26,128957,7221,82836243
2021-08-27,129002,7826,83101723
2021-08-28,129056,6860,83395187
2021-08-29,129093,5959,83618273
2021-08-30,129146,4257,83728076
2021-08-31,129221,5498,84035719
2021-09-01,129290,6503,84339436
2021-09-02,129352,6761,84632503
2021-09-03,129410,6735,84928897
2021-09-04,129466,6157,85260247
2021-09-05,129515,5315,85520003
2021-09-06,129567,3361,85654396
2021-09-07,129638,4720,85973261
2021-09-08,129707,5923,86275241
2021-09-09,129766,5522,86566709
2021-09-10,129828,5621,86852737
2021-09-11,129885,5193,87186478
2021-09-12,129919,4664,87453836
2021-09-13,129955,2800,87573881
2021-09-14,130027,4021,87892474
2021-09-15,130100,4830,88210140
2021-09-16,130167,5117,88516407
2021-09-17,130233,4552,88800986
2021-09-18,130284,4578,89156919
2021-09-19,130310,3838,89420490
2021-09-20,130354,2407,89542931
2021-09-21,130421,3377,89873206
2021-09-22,130488,3970,90166078
2021-09-23,130551,4061,90477853
2021-09-24,130603,3797,90765140
2021-09-25,130653,3525,91122631
2021-09-26,130697,3099,91398852
2021-09-27,130742,1772,91522929
2021-09-28,130807,2985,91861354
2021-09-29,130870,3212,92156806
2021-09-30,130921,3804,92465642
2021-10-01,130973,3405,92759111
2021-10-02,130998,3312,93115007
2021-10-03,131031,2968,93400967
2021-10-04,131068,1612,93523181
2021-10-05,131118,2466,93845463
